result_id|test_id|sample_size_mean_op|sample_size_mean|sample_size_min_op|sample_size_min|sample_size_max_op|sample_size_max|sample_size_unit|sample_size_comments|obs_duration_mean_op|obs_duration_mean|obs_duration_min_op|obs_duration_min|obs_duration_max_op|obs_duration_max|obs_duration_unit|obs_duration_comments|endpoint|endpoint_comments|trend|effect|effect_comments|measurement|measurement_comments|response_site|response_site_comments|effect_pct_mean_op|effect_pct_mean|effect_pct_min_op|effect_pct_min|effect_pct_max_op|effect_pct_max|effect_pct_comments|conc1_type|ion1|conc1_mean_op|conc1_mean|conc1_min_op|conc1_min|conc1_max_op|conc1_max|conc1_unit|conc1_comments|conc2_type|ion2|conc2_mean_op|conc2_mean|conc2_min_op|conc2_min|conc2_max_op|conc2_max|conc2_unit|conc2_comments|conc3_type|ion3|conc3_mean_op|conc3_mean|conc3_min_op|conc3_min|conc3_max_op|conc3_max|conc3_unit|conc3_comments|bcf1_mean_op|bcf1_mean|bcf1_min_op|bcf1_min|bcf1_max_op|bcf1_max|bcf1_unit|bcf1_comments|bcf2_mean_op|bcf2_mean|bcf2_min_op|bcf2_min|bcf2_max_op|bcf2_max|bcf2_unit|bcf2_comments|bcf3_mean_op|bcf3_mean|bcf3_min_op|bcf3_min|bcf3_max_op|bcf3_max|bcf3_unit|bcf3_comments|significance_code|significance_type|significance_level_mean_op|significance_level_mean|significance_level_min_op|significance_level_min|significance_level_max_op|significance_level_max|significance_comments|chem_analysis_method|chem_analysis_method_comments|endpoint_assigned|organism_final_wt_mean_op|organism_final_wt_mean|organism_final_wt_min_op|organism_final_wt_min|organism_final_wt_max_op|organism_final_wt_max|organism_final_wt_unit|organism_final_wt_comments|intake_rate_mean_op|intake_rate_mean|intake_rate_min_op|intake_rate_min|intake_rate_max_op|intake_rate_max|intake_rate_unit|intake_rate_comments|lipid_pct_mean_op|lipid_pct_mean|lipid_pct_min_op|lipid_pct_min|lipid_pct_max_op|lipid_pct_max|lipid_pct_comments|dry_wet|dry_wet_pct_mean_op|dry_wet_pct_mean|dry_wet_pct_min_op|dry_wet_pct_min|dry_wet_pct_max_op|dry_wet_pct_max|dry_wet_pct_comments|steady_state|additional_comments|companion_tag|created_date|modified_date|old_terretox_result_number
2176080|2095912||||||||||48|||||h||LC50||INC|MOR||MORT|||||||||||A|||712.60|||||AI ug/L|||||||||||||||||||||||||||||||||||||||||||||||||||||||U||P||||||||||||||||||||||||||||||||| ||02/06/2014|02/06/2014|
2175459|2095580||||||||||72|||||h||EC50||DEC|PHY||PSII/|QUANTUM YIELD||||||||||F||||>|200|<|400|nM|FROM GRAPH||||||||||||||||||||||||||||||||||||||||||||||||||||||U||P|||||||||||||||||||||||||||||||||CONC1/FROM GRAPH// ||02/05/2014|02/05/2014|
733273|1279884||||||||||5|||||d||NOEC||NEF|POP||ABND|||||||||||A||<|0.1|||||mg/L||||||||||||||||||||||||||||||||||||||||||||||NOSIG|P||0.05||||||U||P||||||||||||||||||||||||||||||||| TIME/5 DAY EXPOSURE WITH 5 DAY RECOVERY PERIOD//DNUM/7//DOSES/0.1/0.2/0.4/0.8/1.6/3.2 mg/L//TESTID/3//ALGICIDAL AND ALGISTATIC VALUES ALSO REPORTED//||09/15/2008||
21181|1157689||||||||||1|||||h||||CHG|BCM||GBCM/|PROTEIN SYNTHESIS//||||||6.7||70||F|||||5||15|uM|||||||||||||||||||||||||||||||||||||||||||||||||||||||U||||||||||||||||||||||||||||||||||| CHAR/ATRAZINE// ||07/24/1996||
163425|1203198||||||||||21|||||d||EC50||DEC|POP||GPOP/|CHLOROPHYLL A//||||||||||A|||58.1|||||ug/L|||||||||||||||||||||||||||||||||||||||||||||||||||||||U||||||||||||||||||||||||||||||||||| ||04/28/1998|05/05/1998|
224232|1231355|||||||||||>=|0|<=|60|mi|||||ACC||RSDE||WO||||>=|0|<=|100||F|||0.5|||||uM|||||||||||||||||||||||||||||||||||||||||||||||||||||||U||||||||||||||||||||||||||||||||||| EFCT%/FROM GRAPH AS % OF MAXIMUM//RADIO/AS NEEDED//||10/22/2003||
225571|1238664||||||||||48|||||h||EC10||DEC|POP||ABND/|STATS BASED ON POOLED CONTROLS//||||||||||A|||0.000049||0.0000033||0.00028|AI mg/L|||||||||||||||||||||||||||||||||||||||||||||||||||||||M||P||||||||||||||||||||||||||||||||| CONTR/C,V//||01/28/2004|03/09/2017|
800832|1339875||||||||||48|||||h||LOEC||INC|BCM||H2O2|||||||||||F|||100|||||ug/L||||||||||||||||||||||||||||||||||||||||||||||ASIG|P|<|0.05||||||U||R||||||||||||||||||||||||||||||||| DNUM/2//DOSES/100 ug/L//TESTID/1//OEF/MIXTURE//CONC/ONLY CONC TESTED////||09/14/2011||
2365252|2183252||||||||||48|||||h||NOEC|||POP||ABND/|AS MEASURED BY DISSOLVED OXYGEN PRODUCTION||||||||||A|||0.02|||||mg/L|ONLY CONC REPORTED|||||||||||||||||||||||||||||||||||||||||||||NOSIG|P|<=|0.05||||||U||P|||||||||||||||||||||||||||||||||CONC1/ONLY CONC REPORTED// NO ASSOCIATED LOEC||12/08/2016|12/08/2016|
2378413|2189533||||||||||96|||||h||LOEC||INC|POP||CHLB|||||||||||F|||0.05|||||mg/L||||||||||||||||||||||||||||||||||||||||||||||ASIG|P|<|0.05||||||U||R||||||||||||||||||||||||||||||||| ||03/31/2017|04/06/2017|
2378422|2189533||||||||||96|||||h||NOEC||DEC|ENZ||CTLS|||||||||||F|||5.00|||||mg/L||||||||||||||||||||||||||||||||||||||||||||||ANOSIG|P|<|0.05||||||U||R||||||||||||||||||||||||||||||||| ||03/31/2017|04/06/2017|
2691154|2294099||||||||||72|||||h||EC50||DEC|POP||PGRT|||||||||||F|||0.35|||||mg/L|||||||||||||||||||||||||||||||||||||||||||||||||||||||U||P||||||||||||||||||||||||||||||||| ||10/10/2022|10/10/2022|
162494|1202957||||||||||24|||||h||EC10||DEC|POP||GPOP/|DRY MASS//||||||||||F|||2802|||||ug/L|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||| NR||04/13/1998|04/22/1998|
2077048|2046948||||||||||48|||||h||LOEC||DEC|POP||ABND|||||90|||||OF CONTROL|A|||0.0000001|||||M||||||||||||||||||||||||||||||||||||||||||||||ASIG|P||0.05||||||U||R|||||||||||||||||||||||||||||||||EFCT%/OF CONTROL// ||03/06/2013|03/06/2013|
2377873|2189359||||||||||24|||||h||EC50||DEC|POP||PGRT|||||||||||A|||0.319||0.254||0.400|uM|||||||||||||||||||||||||||||||||||||||||||||||||||||||U||P||||||||||||||||||||||||||||||||| ||03/28/2017|03/28/2017|
90215|1132242||||||||||10|||||d|||||POP/||GPOP|||||||||||F|||0.25|||||uM|||||||||||||||||||||||||||||||||||||||||||||||||||||||U||||||||||||||||||||||||||||||||||| CONC/LOWEST CONC TESTED//EFCT/30 % GRO INHIB// ||08/08/1986||
227509|1238638||||||||||||0|<|55|mi||||DEC|PHY||PSYN/|CO2 UPTAKE//||||||||||F|||||0.25||2.5|ug|||||||||||||||||||||||||||||||||||||||||||||||||||||||U||||||||||||||||||||||||||||||||||| LIFESTG/CHLORELLA PYRENOIDOSA SOROKINIANA//TIME/FROM GRAPH//CONTR/C,B//||05/12/2004||
2378196|2189474||||||||||3|||||h||LOEC||INC|BCM||FLRS/|CHLOROPHYLL A||||||||||A|||0.25|||||uM|ONLY CONC TESTED|||||||||||||||||||||||||||||||||||||||||||||ASIG|P||0.05||||||U||R|||||||||||||||||||||||||||||||||CONC1/ONLY CONC TESTED// ||03/30/2017|03/30/2017|
2379537|2189909||||||||||72|||||h||NOEL||DEC|POP||ABND|||||||||||A|||2.0|||||ug/L||||||||||||||||||||||||||||||||||||||||||||||NOSIG|P||0.05||||||U||R||||||||||||||||||||||||||||||||| |69742|04/06/2017|07/20/2021|
145740|1192098||||||||||14|||||d||LC50||DEC|POP||PGRT|||||||||||F|||8|||||ug/dm3|||||||||||||||||||||||||||||||||||||||||||||||||||||||U||P||||||||||||||||||||||||||||||||| TESTID/32//MSMT/NR//DOSES/0.01-100 MG/DM3//SOURCE/LAB//WTINT/0.01-0.02 G/DM3 DRY WT //DNUM/NR//SEX/NR//TMETH/NR//STYPE/NR//ETIME/14 D//AP RATE/NR//SAMPN/NR//WTAT/NR//INTAKE/NR//COMPEP/NR//LD/NR//DW/D//STST/NR//HMA/NR//NA/NR//CL/NR//DIC/NR//CA/NR//POT/NR//MG/NR//SO4/NR//SULF/NR//||02/20/1997|02/15/2007|
402522|1229299||||||||||48|||||h||NOEC|||PHY||ASML/|Erh#hung der Schadstoffkonz. bis auf 100uM f#hrte zu keiner  weiteren Steigerung der Phytotoxizit#t. ||||||||||F|||0.25|||||umol/L|||||||||||||||||||||||||||||||||||||||||||||||P||||||||||P||||||||||||||||||||||||||||||||| ||10/15/2001||
800870|1339912||||||||||7|||||wk||NOEL||DEC|POP||ABND|||||||||||A|||0.1|||||ug/L||||||||||||||||||||||||||||||||||||||||||||||NOSIG|P|<|0.05||||||U||R||||||||||||||||||||||||||||||||| DNUM/4//DOSES/0.1/1.0/10 ug/L//TESTID/8//|1339912|09/14/2011||
801590|1340555||||||||||72|||||h||NOEL||DEC|POP||PGRT/|DATA AT OTHER CONCENTRATIONS NOT REPORTED. OTHER POP PARAMETERS ALSO REPORTED||||||||||F|||0.1|||||uM||||||||||||||||||||||||||||||||||||||||||||||NOSIG|P|<|0.05||||||U||R||||||||||||||||||||||||||||||||| DNUM/5//DOSES/0.01/0.05/0.1/0.15 uM//TESTID/2//OEF/TEMP EFCTS////||09/22/2011||
2190404|2104040||||||||||24|||||h||LOEC||DEC|POP||PGRT|||||||||||A|||||137.1||142.4|ug/L||||||||||||||||||||||||||||||||||||||||||||||ASIG|A||0.05||||||M||R||||||||||||||||||||||||||||||||| ||04/10/2014|04/10/2014|
2380237|2190048||||||||||96|||||h||LOEC||INC|BCM||CHLB/|PER CELL||||||||||A|||1|||||uM||||||||||||||||||||||||||||||||||||||||||||||SIG|P|<|0.05||||||Z||R||||||||||||||||||||||||||||||||| |69956|04/11/2017|04/11/2017|
789063|1329527|||||||||||>=|49|<=|79|mi||EC50||DEC|POP||PSYN/|PSII||||||||||F|||0.075|||||mg/L|||||||||||||||||||||||||||||||||||||||||||||||||||||||U||P||||||||||||||||||||||||||||||||| CHAR/NEEDED//DOSES/NA mg/L//TESTID/61//OEF/QSAR,BACTERIA, IN VITRO//CONTR/C,V IF NEEDED////||07/26/2010||
184644|1212771||||||||||30|||||mi||EC50||DEC|PHY||RESP/|OXYGEN EVOLUTION//||||||||||F|||0.222|||||mg/L|||||||||||||||||||||||||||||||||||||||||||||||||||||||U||P||||||||||||||||||||||||||||||||| NR||03/24/2000|05/03/2000|
227085|1238512||||||||||3|||||d||EC50||DEC|POP||PGRT/|STATS BASED ON SOLVENT CONTROL//||||||||||A|||1.49|||||uM|||||||||||||||||||||||||||||||||||||||||||||||||||||||U||P||||||||||||||||||||||||||||||||| CONTR/C,V//||04/27/2004||
733741|1280321||||||||||96|||||h||NOEC||DEC|CEL||NCEL/|CELL COUNTS||||||||||F|||0.0005|||||mg/L||||||||||||||||||||||||||||||||||||||||||||||NOSIG|P|<=|0.05||||||U||P||||||||||||||||||||||||||||||||| DNUM/7//DOSES/0.0005/0.001/0.01/0.1/0.5/1.0 mg/l//TESTID/1//|1280321|10/01/2008||
2691339|2294133||||||||||4|||||d||EC50||DEC|POP||PGRT|||||||||||A|||0.0510|||||mg/L|||||||||||||||||||||||||||||||||||||||||||||||||||||||M||P||||||||||||||||||||||||||||||||| ||10/10/2022|10/11/2022|
2175460|2095581||||||||||72|||||h||EC50||DEC|PHY||PSII/|QUANTUM YIELD||||||||||F||||>|200|<|400|nM|FROM GRAPH||||||||||||||||||||||||||||||||||||||||||||||||||||||U||P|||||||||||||||||||||||||||||||||CONC1/FROM GRAPH// ||02/05/2014|02/05/2014|
2188400|2103046||||||||||24|||||h||LOEC||DEC|POP||PSII/|ETo/RC, ALSO MEASURED QUANTUM YIELD, NON-REGULATED, NON-PHOTOCHEMICAL ENERGY DISSIPATION||||||||||F|||10|||||umol/L||||||||||||||||||||||||||||||||||||||||||||||ASIG|P|<|0.05||||||U||R||||||||||||||||||||||||||||||||| ||03/30/2014|03/30/2014|
63376|1135022||||||||||19|||||d||||DEC|POP||BMAS|||||||||||A|||500|||||ug/L||||||||||||||||||||||||||||||||||||||||||||||SIG|P|<|0.05||||||||||||||||||||||||||||||||||||||||| ||06/17/1996||
710235|1260025||||||||||96|||||h||NOEC||DEC|PHY||CASS||PRO|||3.43||||||A|||50|||||ug/L||||||||||||||||||||||||||||||||||||||||||||||NOSIG|P|<|0.05||||||||R||||||||||||||||||||||||||||||||| DNUM/4//DOSES/25/50/100 ug/L//TESTID/1//|1260025|07/25/2007||
2176082|2095912||||||||||96|||||h||LC50||INC|MOR||MORT|||||||||||A|||597.45|||||AI ug/L|||||||||||||||||||||||||||||||||||||||||||||||||||||||U||P||||||||||||||||||||||||||||||||| ||02/06/2014|02/06/2014|
2176114|2095916||||||||||96|||||h||LOEC||INC|ENZ||GSTR|||||||||||A|||25|||||AI ug/L||||||||||||||||||||||||||||||||||||||||||||||ASIG|P|<|0.05||||||U||R||||||||||||||||||||||||||||||||| ||02/06/2014|02/06/2014|
50894|1149171||||||||||15|||||mo||||CHG|POP||BMAS|||||||||||F|||||80||1560|ug/L||||||||||||||||||||||||||||||||||||||||||||||NOSIG|||||||||||||||||||||||||||||||||||||||||||| ||11/13/1995|05/07/1996|
227103|1238530||||||||||3|||||d||EC50||DEC|PHY||CFIX/|STATS BASED ON SOLVENT CONTROL//||||||||||A|||1.27|||||uM|||||||||||||||||||||||||||||||||||||||||||||||||||||||U||P||||||||||||||||||||||||||||||||| CONTR/C,V//||04/27/2004||
235720|1244390||||||||||96|||||h||NOEC||DEC|GRO||VOLU/|PER CELL//|WO|||0||||||F|||100|||||ug/L||||||||||||||||||||||||||||||||||||||||||||||NOSIG|P|<|0.05||||||U||R||||||||||||||||||||||||||||||||| TESTID/2//MSMT/NR//DOSES/12.5/25/50/100/200 UG/L//SOURCE/WLD//WTINT/NR//DNUM/6//SEX/NR//TMETH/ASTM//STYPE/NR//ETIME/96 H//AP RATE/NR//SAMPN/NR//WTAT/NR//INTAKE/NR//COMPEP/NR//LD/NR//DW/NR//STST/NR//HMA/NR//NA/NR//CL/NR//DIC/NR//CA/NR//POT/NR//MG/NR//SO4/NR//SULF/NR//|69827|06/11/2007|04/10/2017|
716188|1264894||||||||||||0||24|h||||INC|ACC||RSDE|||||||||||A|||||5.39||161.77|ug/L|||||||||||||||||||||||||||||||||||||||||||||||||||||||M||||||||||||||||||||||||||||||||||| DNUM/4//DOSES/5.39/21.57/161.77 ug/L//TESTID/2//||10/30/2007||
198583|1212739||||||||||72|||||h||EC50||DEC|POP||PGRT|||||||||||F|||1732.8|||||ug/L|||||||||||||||||||||||||||||||||||||||||||||||||||||||U||P||||||||||||||||||||||||||||||||| ||01/19/2001||
131028|1150553||||||||||||||||||||ACC||GACC|||||||||||F|||||5||100|ug/L|||||||||||||||||||||||||||||||||||||||||||||||||||||||U||||||||||||||||||||||||||||||||||| ||12/12/1994|01/06/1995|
2407619|2203165||||||||||10|||||d||EC50||DEC|POP||PGRT|||||||||||F|||0.40|||||ppm|||||||||||||||||||||||||||||||||||||||||||||||||||||||U||P||||||||||||||||||||||||||||||||| ||10/31/2017|10/31/2017|
225563|1238664||||||||||24|||||h||EC50||DEC|POP||ABND/|STATS BASED ON POOLED CONTROLS//||||||||||A|||0.081||0.036||0.16|AI mg/L|||||||||||||||||||||||||||||||||||||||||||||||||||||||M||P||||||||||||||||||||||||||||||||| CONTR/C,V//||01/28/2004|03/09/2017|
2381274|2190299||||||||||48|||||d||NOEC||DEC|POP||BMAS/|ASH FREE DRY MASS. STATS TO C CONTROL.||||||||||A|||10.7|||||ug/L||||||||||||||||||||||||||||||||||||||||||||||NOSIG|P||0.0792||||||M||R||||||||||||||||||||||||Dry||||||||| |70059|04/12/2017|04/12/2017|
224730|1238811||||||||||||0||6|d||||CHG|POP||PGRT|||||||||||A|||||0.1||10.0|uM|||||||||||||||||||||||||||||||||||||||||||||||||||||||U||||||||||||||||||||||||||||||||||| ||01/16/2004||
227088|1238515||||||||||3|||||d||EC50||DEC|POP||BMAS/|FINAL YIELD, STATS BASED ON SOLVENT CONTROL//||||||||||A|||1.40|||||uM|||||||||||||||||||||||||||||||||||||||||||||||||||||||U||P||||||||||||||||||||||||||||||||| CONTR/C,V//||04/27/2004||
705053|1255783||||||||||20|||||mi||EC50|||POP||PSYN|||||||||||A|||38.9|||||ug/L|||||||||||||||||||||||||||||||||||||||||||||||||||||||U||||||||||||||||||||||||||||||||||| ||10/20/2006||
2382898|2190922||||||||||96|||||h||EC50||DEC|POP||PGRT|||||||||||A|||68.2||58.7||80.0|ug/L|||||||||||||||||||||||||||||||||||||||||||||||||||||||Z||P||||||||||||||||||||||||||||||||| REPLICATION A||04/18/2017|04/18/2017|
2175584|2095615||||||||||48|||||h||LOEC||DEC|POP||ABND|||||80||||||A|||52.1|||||ug/L||||||||||||||||||||||||||||||||||||||||||||||SIG|P|<=|0.05||||||M||R||||||||||||||||||||||||||||||||| ||02/05/2014|02/05/2014|
2378180|2189474||||||||||3|||||h||NOEC||DEC|POP||CHLB|||||19.1||||||A|||0.25|||||uM|ONLY CONC TESTED|||||||||||||||||||||||||||||||||||||||||||||ANOSIG|P||0.05||||||U||R|||||||||||||||||||||||||||||||||CONC1/ONLY CONC TESTED// ||03/30/2017|04/03/2017|
184841|1210188||||||||||||2||3|d||EC50||DEC|POP||PGRT|||||||||||A|||191|||||ug/L|||||||||||||||||||||||||||||||||||||||||||||||||||||||U||P||||||||||||||||||||||||||||||||| ||03/27/2000|05/08/2000|
705001|1255731||||||||||96|||||h||NOEC||INC|CEL||OGNL/|RELATIVE VOLUME FRACTION FOR LIPID BODIES.  PHOPHATE BODIES ALSO REPORTED.  SEVERAL STATISTICAL METHODS USED.||||||||||A|||103|||||ug/L||||||||||||||||||||||||||||||||||||||||||||||ANOSIG|P||0.05||||||M||R||||||||||||||||||||||||||||||||| CHAR/USED WITH TREATMENT.//DNUM/4//DOSES/26/40/103 ug/L//||10/17/2006|04/11/2017|
709871|1259706||||||||||96|||||h||NOEC||INC|PHY||CASS||WO|||||||||A|||100|||||ug/L||||||||||||||||||||||||||||||||||||||||||||||ANOSIG|P|<|0.05||||||||R||||||||||||||||||||||||||||||||| DNUM/4//DOSES/25/50/100 ug/L//TESTID/1//||07/25/2007||
2190431|2104041||||||||||72|||||h||EC10||DEC|POP||CHLA|||||||||||A|||15.53|||||ug/L|||||||||||||||||||||||||||||||||||||||||||||||||||||||M||P||||||||||||||||||||||||||||||||| ||04/10/2014|04/10/2014|
108566|1140712||||||||||24|||||h||EC50|||PHY/||PSYN|||||||||||F|||305||277||334|ug/L|||||||||||||||||||||||||||||||||||||||||||||||||||||||U||||||||||||||||||||||||||||||||||| EFCT/C14 UPTAKE// ||07/15/1992|07/21/1992|
703557|1254684||||||||||96|||||h||LOEC|||POP||ABND|||||||||||A|||128|||||ug/L||||||||||||||||||||||||||||||||||||||||||||||SIG|||||||||U||||||||||||||||||||||||||||||||||| LIFESTG/VILLAUMUR//DNUM/11//||02/03/2006||
703204|1254392||||||||||7|||||d||EC25|||POP||PGRT|||||||||||A|||0.009|||||mg/L|||||||||||||||||||||||||||||||||||||||||||||||||||||||U||||||||||||||||||||||||||||||||||| DNUM/5//NEGATIVE AND POSITIVE CONTROLS USED.//||01/26/2006||
2380208|2190048||||||||||96|||||h||NOEC||DEC|POP||PGRT|||||||||||A|||0.1|||||uM||||||||||||||||||||||||||||||||||||||||||||||NOSIG|P|<|0.05||||||Z||R||||||||||||||||||||||||||||||||| |69952|04/11/2017|04/11/2017|
724892|1273573||||||||||1|||||mi||MATC||INC|BCM||FLRS/|F684 F735 RATIO,TOXICITY THRESHOLD|WO|||||||||F|||11|||||ug/L|||||||||||||||||||||||||||||||||||||||||||||||||||||||U||R||||||||||||||||||||||||||||||||| CHAR/USED AS SOLVENT//DNUM/6//DOSES/>0 TO <11/50/~100/~500/~1000 ug/L//TESTID/4//CONTR/B,V//DOSES/SOME VALUES FROM GRAPH////||06/17/2008||
2378971|2189676||||||||||5|||||d||LOEC||DEC|POP||PSII/|EFFICIENCY OF PSII||||||||||F|||0.02|||||mg/L||||||||||||||||||||||||||||||||||||||||||||||SIG|P||0.05||||||U||R||||||||||||||||||||||||||||||||| |69592|04/05/2017|04/05/2017|
2188404|2103046||||||||||24|||||h||LOEC||INC|POP||PSII/|TRo/RC, ALSO MEASURED QUANTUM YIELD, NON-REGULATED, NON-PHOTOCHEMICAL ENERGY DISSIPATION||||||||||F|||1000|||||umol/L||||||||||||||||||||||||||||||||||||||||||||||SIG|P|<|0.05||||||U||R||||||||||||||||||||||||||||||||| |31774|03/30/2014|03/30/2014|
2175471|2095592||||||||||72|||||h||EC50||DEC|PHY||PSII/|QUANTUM YIELD||||||||||F||||>|0|<|200|nM|FROM GRAPH||||||||||||||||||||||||||||||||||||||||||||||||||||||U||P|||||||||||||||||||||||||||||||||CONC1/FROM GRAPH// ||02/05/2014|02/05/2014|
225869|1238561||||||||||4|||||d||EC100||DEC|POP||PGRT|||||||||||A|||1|||||mg/L|||||||||||||||||||||||||||||||||||||||||||||||||||||||U||P||||||||||||||||||||||||||||||||| LIFESTG/1.01E+4 CELLS PER BEAD//||03/01/2004||
2406955|2202702||||||||||90|||||mi||EC50||DEC|PHY||PSYN|||||||||||A|||0.10|||||ppm|||||||||||||||||||||||||||||||||||||||||||||||||||||||U||P||||||||||||||||||||||||||||||||| ||10/26/2017|10/26/2017|
225547|1238648||||||||||24|||||h||EC50||DEC|POP||ABND/|STATS BASED ON POOLED CONTROLS//||||||||||A|||0.26||0.061||1.4|mg/L|||||||||||||||||||||||||||||||||||||||||||||||||||||||M||P||||||||||||||||||||||||||||||||| CONTR/C,V//||01/28/2004||
216405|1223940||||||||||11|||||d||||DEC|POP||BMAS||WO|||||||||A|||10|||||ug/L|||||||||||||||||||||||||||||||||||||||||||||||||||||||M||||||||||||||||||||||||||||||||||| EFCT%/95% FROM CONTROL//||03/19/2003|03/25/2003|
2407620|2203165||||||||||10|||||d||EC100||DEC|POP||PGRT|||||||||||F|||1.50|||||ppm|||||||||||||||||||||||||||||||||||||||||||||||||||||||U||P||||||||||||||||||||||||||||||||| ||10/31/2017|10/31/2017|
163449|1203222||||||||||21|||||d||EC50||DEC|POP||GPOP/|CHLOROPHYLL A//||||||||||A|||54.9|||||ug/L|||||||||||||||||||||||||||||||||||||||||||||||||||||||U||||||||||||||||||||||||||||||||||| ||04/28/1998|05/05/1998|
225568|1238664||||||||||96|||||h||LOEC||DEC|POP||ABND/|STATS BASED ON POOLED CONTROLS//||||||||||A|||0.13|||||AI mg/L||||||||||||||||||||||||||||||||||||||||||||||SIG|P|<|0.05||||||M||P||||||||||||||||||||||||||||||||| CONTR/C,V//|68984|01/28/2004|03/09/2017|
2175578|2095657||||||||||16|||||h||LOEC||DEC|GEN||RCLM|||||||||||F|||200|||||ug/L|ONLY CONC TESTED|||||||||||||||||||||||||||||||||||||||||||||ASIG|P|<|0.01||||||U||R|||||||||||||||||||||||||||||||||CONC1/ONLY CONC TESTED// ||02/05/2014|02/05/2014|
2381258|2190299||||||||||27|||||d||NOEC||DEC|POP||BMAS/|ASH FREE DRY MASS. STATS TO C CONTROL.||||||||||A|||31.0|||||ug/L||||||||||||||||||||||||||||||||||||||||||||||ANOSIG|P||0.1433||||||M||R||||||||||||||||||||||||Dry||||||||| ||04/12/2017|04/12/2017|
2382899|2190922||||||||||96|||||h||EC50||DEC|POP||PGRT|||||||||||A|||76.9||56.6||120.2|ug/L|||||||||||||||||||||||||||||||||||||||||||||||||||||||Z||P||||||||||||||||||||||||||||||||| REPLICATION B||04/18/2017|04/18/2017|
112726|1000495||||||||||5|||||d||EC50|||BCM||CHLO|||||||||||A|||218|||||ug/L|||||||||||||||||||||||||||||||||||||||||||||||||||||||U||||||||||||||||||||||||||||||||||| ||10/06/1992||
733506|1280101||||||||||96|||||h||EC50||DEC|CEL||NCEL/|CELL COUNTS||||||||||F|||0.004|||||mg/L|||||||||||||||||||||||||||||||||||||||||||||||||||||||U||P||||||||||||||||||||||||||||||||| DNUM/7//DOSES/0.0005/0.001/0.01/0.1/0.5/1.0 mg/l//TESTID/1//||10/01/2008||
2378363|2189533||||||||||24|||||h||NOEC||DEC|POP||ABND/|CELL COUNT||||||||||F|||5.00|||||mg/L||||||||||||||||||||||||||||||||||||||||||||||ANOSIG|P|<|0.05||||||U||R||||||||||||||||||||||||||||||||| ||03/31/2017|04/06/2017|
2378416|2189533||||||||||72|||||h||NOEC||DEC|POP||CHLO|||||||||||F|||5.00|||||mg/L||||||||||||||||||||||||||||||||||||||||||||||ANOSIG|P|<|0.05||||||U||R||||||||||||||||||||||||||||||||| ||03/31/2017|04/06/2017|
2380368|2190082||||||||||96|||||h||EC50||INC|POP||PSII/|PSII YIELD||||||||||A|||41.9|||||ug/L|||||||||||||||||||||||||||||||||||||||||||||||||||||||M||P||||||||||||||||||||||||||||||||| ||04/11/2017|04/11/2017|
704976|1255704||||||||||96|||||h||LOEC||DEC|POP||ABND/|FLUORESCENCE||||||||||A|||89|||||ug/L||||||||||||||||||||||||||||||||||||||||||||||SIG|||||||||M||P||||||||||||||||||||||||||||||||| |69978|10/17/2006|04/11/2017|
2176447|2095526||||||||||72|||||h||LOEC||DEC|PHY||PSYN/|MAX RATE|||||>|20|<|40|OF CONTROL, FROM GRAPH|F|||250|||||nM|DATA NOT PRESENTED FOR 25, 65, 125, 500, 1000, 2000 AND 10000 NM CONCS|||||||||||||||||||||||||||||||||||||||||||||SIG|P|<|0.05||||||U||R|||||||||||||||||||||||||||||||||EFCT%/OF CONTROL, FROM GRAPH//CONC1/DATA NOT PRESENTED FOR 25, 65, 125, 500, 1000, 2000 AND 10000 NM CONCS// ||02/07/2014|02/07/2014|
227083|1238510||||||||||3|||||d||EC50||DEC|POP||PGRT/|STATS BASED ON SOLVENT CONTROL//||||||||||A|||2.47|||||uM|||||||||||||||||||||||||||||||||||||||||||||||||||||||U||P||||||||||||||||||||||||||||||||| CONTR/C,V//||04/27/2004||
2175564|2095615||||||||||48|||||h||NOEC||DEC|POP||PGRT|||||0||||||A|||9.77|||||ug/L||||||||||||||||||||||||||||||||||||||||||||||NOSIG|P|<=|0.05||||||M||P||||||||||||||||||||||||||||||||| ||02/05/2014|02/05/2014|
235637|1244376||||||||||96|||||h||NOEC||DEC|POP||BMAS|||||||||||F|||25|||||ug/L||||||||||||||||||||||||||||||||||||||||||||||NOSIG|P||0.0029||||||U||P||||||||||||||||||||||||||||||||| TESTID/1//MSMT/NR//DOSES/12.5/25/50/100/200 UG/L//SOURCE/LAB//WTINT/NR//DNUM/6//SEX/NR//TMETH/ASTM//STYPE/NR//ETIME/96 H//AP RATE/NR//SAMPN/NR//WTAT/NR//INTAKE/NR//COMPEP/3//LD/NR//DW/NR//STST/NR//HMA/NR//NA/NR//CL/NR//DIC/NR//CA/NR//POT/NR//MG/NR//SO4/NR//SULF/NR//|69819|06/08/2007|04/10/2017|
2194613|2106585||||||||||32|||||d||||INC|ACC||RSDE||WO|||||||||A|||4.38|||||ppb|ONLY CONC TESTED, MEASURED DAY 32||||||||||||||||||||||||||||||||||||||||||||||||||||||M|||||||||||||||||||||||||||||||||||CONC1/ONLY CONC TESTED, MEASURED DAY 32// ||05/02/2014|05/02/2014|
